pair_id,twin_name,edition_name,palette
99,Rada,Ormeggio,Pesaro
100,Sestante,Scalo,Pesaro
101,Bussola,Cala,Pesaro
102,Astrolabio,Lanterna,Pesaro
103,Fronda,Pagina,Foglio
104,Germoglio,Quaderno,Foglio
105,Linfa,Inchiostro,Foglio
106,Corteccia,Pergamena,Foglio
107,Ramoscello,Carta,Foglio
108,Nervatura,Filigrana,Foglio
109,Picciolo,Piega,Foglio
110,Radice,Margine,Foglio
111,Gemma,Postilla,Foglio
112,Stelo,Rigo,Foglio
113,Chioma,Frontespizio,Foglio
114,Viticcio,Legatura,Foglio
115,Petalo,Segnalibro,Foglio
116,Baccello,Cartiglio,Foglio
117,Seme,Manoscritto,Foglio
118,Innesto,Codice,Foglio
119,Venatura,Vergatura,Foglio
120,Pollone,Bozza,Foglio
121,Verzura,Cancellatura,Foglio
122,Talea,Timbro,Foglio
123,Velatura,Cartone,Raffaello
124,Rosato,Sanguigna,Raffaello
125,Sfumato,Spolvero,Raffaello
126,Impasto,Contorno,Raffaello
127,Lacca,Schizzo,Raffaello
128,Tinta,Tratto,Raffaello
129,Guazzo,Stilo,Raffaello
130,Vermiglio,Modello,Raffaello
131,Oltremare,Studio,Raffaello
132,Minio,Panneggio,Raffaello
133,Cangiante,Disegno,Raffaello
134,Amaranto,Bozzetto,Raffaello
135,Garanza,Profilo,Raffaello
136,Biacca,Contrapposto,Raffaello
137,Patina,Luccichio,Lucente
138,Fuliggine,Scintilla,Lucente
139,Cenere,Lucciola,Lucente
140,Ruggine,Balenio,Lucente
141,Verderame,Lustro,Lucente
142,Appannatura,Iride,Lucente
143,Ossido,Fulgore,Lucente
144,Sordina,Raggiera,Lucente
145,Grigiore,Abbaglio,Lucente
146,Torbido,Sfavillio,Lucente
147,Bruno,Lampo,Lucente
148,Smorzato,Guizzo,Lucente
149,Tizzone,Fiammella,Lucente
150,Pigmento,Intonaco,Fresco
151,Malachite,Calce,Fresco
152,Lapislazzuli,Arriccio,Fresco
153,Pennellata,Giornata,Fresco
154,Colatura,Muro,Fresco
155,Cinabrese,Tonachino,Fresco
156,Verdaccio,Ponteggio,Fresco
157,Bolo,Cazzuola,Fresco
158,Azzurrite,Frattazzo,Fresco
159,Ocra,Nicchia,Fresco
160,Chiaroscuro,Lunetta,Fresco
161,Grisaglia,Volta,Fresco
162,Bistro,Zoccolo,Fresco
163,Vernice,Cornice,Fresco
164,Semina,Argilla,Terra
165,Raccolto,Zolla,Terra
166,Spiga,Creta,Terra
167,Covone,Tufo,Terra
168,Maggese,Marna,Terra
169,Aratura,Limo,Terra
170,Erpice,Sabbia,Terra
171,Vendemmia,Ghiaia,Terra
172,Fienile,Terriccio,Terra
173,Aratro,Polvere,Terra
174,Semenza,Fango,Terra
175,Frutteto,Terracotta,Terra
176,Orto,Mattone,Terra
177,Fioritura,Gesso,Terra
178,Ginestra,Sasso,Terra
179,Lucerna,Sagoma,Ombra
180,Candela,Eclissi,Ombra
181,Torcia,Cripta,Ombra
182,Lampada,Androne,Ombra
183,Fiaccola,Sottoportico,Ombra
184,Candelabro,Vicolo,Ombra
185,Lume,Antro,Ombra
186,Falò,Grotta,Ombra
187,Braciere,Cantina,Ombra
188,Miccia,Cunicolo,Ombra
189,Stoppino,Anfratto,Ombra
190,Vampa,Voragine,Ombra
191,Focolare,Sotterraneo,Ombra
192,Cerino,Nascondiglio,Ombra
193,Ribalta,Velario,Ombra
194,Disgelo,Ghiaccio,Glaciale
195,Ruscello,Brina,Glaciale
196,Goccia,Gelo,Glaciale
197,Torrente,Nevaio,Glaciale
198,Zampillo,Cristallo,Glaciale
199,Polla,Galaverna,Glaciale
200,Rivolo,Seracco,Glaciale
201,Piena,Banchisa,Glaciale
202,Pioggia,Nevischio,Glaciale
203,Stillicidio,Ghiacciolo,Glaciale
204,Guado,Crepaccio,Glaciale
205,Sorgiva,Coltre,Glaciale
206,Sereno,Tormenta,Glaciale
207,Fontanile,Gelicidio,Glaciale
208,Riflusso,Slavina,Glaciale
209,Alba,Crepuscolo,Tramonto
210,Mattino,Vespro,Tramonto
211,Levata,Imbrunire,Tramonto
212,Oriente,Occaso,Tramonto
213,Levante,Ponente,Tramonto
214,Diana,Sera,Tramonto
215,Fiamma,Rossore,Tramonto
216,Favilla,Brace,Tramonto
217,Ambra,Rubino,Tramonto
218,Corallo,Granata,Tramonto
219,Zafferano,Melograno,Tramonto
220,Oro,Rame,Tramonto
221,Miele,Cotto,Tramonto
222,Albicocca,Vinaccia,Tramonto
223,Pesca,Prugna,Tramonto
224,Arancio,Mora,Tramonto
225,Citrino,Ametista,Tramonto
226,Zolfo,Indaco,Tramonto
227,Croco,Malva,Tramonto
228,Girasole,Lilla,Tramonto
229,Calice,Fornace,Murano
230,Ampolla,Crogiolo,Murano
231,Bolla,Canna,Murano
232,Perla,Soffio,Murano
233,Sfera,Colata,Murano
234,Lampadario,Pontello,Murano
235,Lastra,Fusione,Murano
236,Lente,Tempra,Murano
237,Prisma,Molatura,Murano
238,Piatto,Battuto,Murano
239,Bicchiere,Incalmo,Murano
240,Tessera,Murrina,Murano
241,Lattimo,Reticello,Murano
242,Opalina,Avventurina,Murano
243,Boccia,Sommerso,Murano
244,Smalto,Pulegoso,Murano
245,Pendaglio,Ricottura,Murano
246,Vetrata,Stampo,Murano
247,Rosone,Soffiatura,Murano
248,Fiala,Tenaglia,Murano
249,Diadema,Cesello,Murano
250,Congedo,Sigillo,Murano
