tokenID,name,description,file_name,external_url,attributes[Palette],attributes[Scale],attributes[Style],attributes[Half],attributes[Pair],attributes[Twin],attributes[Seed]
21,Contrafforte #021,"Contrafforte, Edition half of pair 021 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Jumbo scale, mixed-style, rendered deterministically from seed 4m7gy5es. Its Twin is Arcata: free to claim for whoever holds this piece.",filament_1777667017317_0004_4m7gy5es_Montefeltro_jumbo.webp,https://unrealfilament.art/edition/#021,Montefeltro,Jumbo,Mixed-style,Edition,21,Arcata,4m7gy5es
22,Torretta #022,"Torretta, Edition half of pair 022 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Mixed scale, mixed-style, rendered deterministically from seed mqow65ws. Its Twin is Abbaino: free to claim for whoever holds this piece.",filament_1777667045013_0001_mqow65ws_Montefeltro_mixed.webp,https://unrealfilament.art/edition/#022,Montefeltro,Mixed,Mixed-style,Edition,22,Abbaino,mqow65ws
23,Fossato #023,"Fossato, Edition half of pair 023 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Medium scale, mixed-style, rendered deterministically from seed z4ppow9t. Its Twin is Ponte: free to claim for whoever holds this piece.",filament_1777667048979_0004_z4ppow9t_Montefeltro_medium.webp,https://unrealfilament.art/edition/#023,Montefeltro,Medium,Mixed-style,Edition,23,Ponte,z4ppow9t
24,Cinta #024,"Cinta, Edition half of pair 024 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Medium scale, mixed-style, rendered deterministically from seed 0il25nrb. Its Twin is Portale: free to claim for whoever holds this piece.",filament_1777667115964_0001_0il25nrb_Montefeltro_medium.webp,https://unrealfilament.art/edition/#024,Montefeltro,Medium,Mixed-style,Edition,24,Portale,0il25nrb
25,Pilastro #025,"Pilastro, Edition half of pair 025 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Mixed scale, mixed-style, rendered deterministically from seed vgomhsu1. Its Twin is Lucernario: free to claim for whoever holds this piece.",filament_1777667151792_0044_vgomhsu1_Montefeltro_mixed.webp,https://unrealfilament.art/edition/#025,Montefeltro,Mixed,Mixed-style,Edition,25,Lucernario,vgomhsu1
26,Bugnato #026,"Bugnato, Edition half of pair 026 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Medium scale, mixed-style, rendered deterministically from seed 9eqfem8j. Its Twin is Finestrella: free to claim for whoever holds this piece.",filament_1777667222317_0124_9eqfem8j_Montefeltro_medium.webp,https://unrealfilament.art/edition/#026,Montefeltro,Medium,Mixed-style,Edition,26,Finestrella,9eqfem8j
27,Stendardo #027,"Stendardo, Edition half of pair 027 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, beads, rendered deterministically from seed ztefxxoo. Its Twin is Laguna: free to claim for whoever holds this piece.",filament_1777569327478_0011_ztefxxoo_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#027,Carpaccio,Jumbo,Beads,Edition,27,Laguna,ztefxxoo
28,Gonfalone #028,"Gonfalone, Edition half of pair 028 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, beads, rendered deterministically from seed 96m8blqp. Its Twin is Riva: free to claim for whoever holds this piece.",filament_1777569572815_0058_96m8blqp_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#028,Carpaccio,Jumbo,Beads,Edition,28,Riva,96m8blqp
29,Corteo #029,"Corteo, Edition half of pair 029 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, beads, rendered deterministically from seed ca6nfrx6. Its Twin is Scia: free to claim for whoever holds this piece.",filament_1777569578428_0067_ca6nfrx6_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#029,Carpaccio,Jumbo,Beads,Edition,29,Scia,ca6nfrx6
30,Porpora #030,"Porpora, Edition half of pair 030 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, beads, rendered deterministically from seed 6u2jg244. Its Twin is Marea: free to claim for whoever holds this piece.",filament_1777569594381_0093_6u2jg244_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#030,Carpaccio,Jumbo,Beads,Edition,30,Marea,6u2jg244
31,Damasco #031,"Damasco, Edition half of pair 031 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, beads, rendered deterministically from seed p7ftc0px. Its Twin is Risacca: free to claim for whoever holds this piece.",filament_1777569620547_0133_p7ftc0px_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#031,Carpaccio,Jumbo,Beads,Edition,31,Risacca,p7ftc0px
32,Broccato #032,"Broccato, Edition half of pair 032 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, thin, rendered deterministically from seed y0smkxtb. Its Twin is Canale: free to claim for whoever holds this piece.",filament_1777570103195_0063_y0smkxtb_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#032,Carpaccio,Jumbo,Thin,Edition,32,Canale,y0smkxtb
33,Vessillo #033,"Vessillo, Edition half of pair 033 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Micro scale, beads, rendered deterministically from seed wddqvot4. Its Twin is Specchio: free to claim for whoever holds this piece.",filament_1777570137442_0087_wddqvot4_Carpaccio_micro.webp,https://unrealfilament.art/edition/#033,Carpaccio,Micro,Beads,Edition,33,Specchio,wddqvot4
34,Livrea #034,"Livrea, Edition half of pair 034 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Medium scale, mixed-style, rendered deterministically from seed oa3zeu8k. Its Twin is Bacino: free to claim for whoever holds this piece.",filament_1777570194547_0009_oa3zeu8k_Carpaccio_medium.webp,https://unrealfilament.art/edition/#034,Carpaccio,Medium,Mixed-style,Edition,34,Bacino,oa3zeu8k
35,Manto #035,"Manto, Edition half of pair 035 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Large scale, thin, rendered deterministically from seed last487p. Its Twin is Onda: free to claim for whoever holds this piece.",filament_1777570198501_0014_last487p_Carpaccio_large.webp,https://unrealfilament.art/edition/#035,Carpaccio,Large,Thin,Edition,35,Onda,last487p
36,Baldacchino #036,"Baldacchino, Edition half of pair 036 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, thin, rendered deterministically from seed 9xwzt48w. Its Twin is Corrente: free to claim for whoever holds this piece.",filament_1777666651277_0048_9xwzt48w_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#036,Carpaccio,Jumbo,Thin,Edition,36,Corrente,9xwzt48w
37,Seta #037,"Seta, Edition half of pair 037 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Medium scale, thin, rendered deterministically from seed r78iear0. Its Twin is Schiuma: free to claim for whoever holds this piece.",filament_1777666825583_0035_r78iear0_Carpaccio_medium.webp,https://unrealfilament.art/edition/#037,Carpaccio,Medium,Thin,Edition,37,Schiuma,r78iear0
38,Insegna #038,"Insegna, Edition half of pair 038 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Mixed scale, mixed-style, rendered deterministically from seed y3tnn8fk. Its Twin is Riverbero: free to claim for whoever holds this piece.",filament_1777666838201_0048_y3tnn8fk_Carpaccio_mixed.webp,https://unrealfilament.art/edition/#038,Carpaccio,Mixed,Mixed-style,Edition,38,Riverbero,y3tnn8fk
39,Ceralacca #039,"Ceralacca, Edition half of pair 039 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Large scale, mixed-style, rendered deterministically from seed wu2n40v8. Its Twin is Fondale: free to claim for whoever holds this piece.",filament_1777667025808_0013_wu2n40v8_Carpaccio_large.webp,https://unrealfilament.art/edition/#039,Carpaccio,Large,Mixed-style,Edition,39,Fondale,wu2n40v8
40,Cinabro #040,"Cinabro, Edition half of pair 040 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, mixed-style, rendered deterministically from seed i9df45eb. Its Twin is Deriva: free to claim for whoever holds this piece.",filament_1777667051810_0007_i9df45eb_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#040,Carpaccio,Jumbo,Mixed-style,Edition,40,Deriva,i9df45eb
41,Scarlatto #041,"Scarlatto, Edition half of pair 041 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Jumbo scale, mixed-style, rendered deterministically from seed rpltr6d1. Its Twin is Salsedine: free to claim for whoever holds this piece.",filament_1777667164816_0055_rpltr6d1_Carpaccio_jumbo.webp,https://unrealfilament.art/edition/#041,Carpaccio,Jumbo,Mixed-style,Edition,41,Salsedine,rpltr6d1
42,Velluto #042,"Velluto, Edition half of pair 042 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Medium scale, mixed-style, rendered deterministically from seed jeivsnng. Its Twin is Bonaccia: free to claim for whoever holds this piece.",filament_1777667171819_0064_jeivsnng_Carpaccio_medium.webp,https://unrealfilament.art/edition/#042,Carpaccio,Medium,Mixed-style,Edition,42,Bonaccia,jeivsnng
43,Ricamo #043,"Ricamo, Edition half of pair 043 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Mixed scale, mixed-style, rendered deterministically from seed 553wwefd. Its Twin is Frangente: free to claim for whoever holds this piece.",filament_1777667188326_0083_553wwefd_Carpaccio_mixed.webp,https://unrealfilament.art/edition/#043,Carpaccio,Mixed,Mixed-style,Edition,43,Frangente,553wwefd
44,Cordone #044,"Cordone, Edition half of pair 044 of 250. Carpaccio — Venetian ceremony and the water that reflects it. Large scale, mixed-style, rendered deterministically from seed fqvb27v2. Its Twin is Approdo: free to claim for whoever holds this piece.",filament_1777667190402_0085_fqvb27v2_Carpaccio_large.webp,https://unrealfilament.art/edition/#044,Carpaccio,Large,Mixed-style,Edition,44,Approdo,fqvb27v2
45,Crinale #045,"Crinale, Edition half of pair 045 of 250. Appennino — the ridge you stand on and the valley you stand in. Mixed scale, beads, rendered deterministically from seed 43xhph8q. Its Twin is Vallone: free to claim for whoever holds this piece.",filament_1777569255343_0001_43xhph8q_Appennino_mixed.webp,https://unrealfilament.art/edition/#045,Appennino,Mixed,Beads,Edition,45,Vallone,43xhph8q
46,Vetta #046,"Vetta, Edition half of pair 046 of 250. Appennino — the ridge you stand on and the valley you stand in. Jumbo scale, beads, rendered deterministically from seed fab0vj66. Its Twin is Conca: free to claim for whoever holds this piece.",filament_1777569597397_0098_fab0vj66_Appennino_jumbo.webp,https://unrealfilament.art/edition/#046,Appennino,Jumbo,Beads,Edition,46,Conca,fab0vj66
47,Dorsale #047,"Dorsale, Edition half of pair 047 of 250. Appennino — the ridge you stand on and the valley you stand in. Jumbo scale, beads, rendered deterministically from seed s489rkr4. Its Twin is Gola: free to claim for whoever holds this piece.",filament_1777569600431_0103_s489rkr4_Appennino_jumbo.webp,https://unrealfilament.art/edition/#047,Appennino,Jumbo,Beads,Edition,47,Gola,s489rkr4
48,Sperone #048,"Sperone, Edition half of pair 048 of 250. Appennino — the ridge you stand on and the valley you stand in. Jumbo scale, beads, rendered deterministically from seed u78jqwsz. Its Twin is Radura: free to claim for whoever holds this piece.",filament_1777569608050_0112_u78jqwsz_Appennino_jumbo.webp,https://unrealfilament.art/edition/#048,Appennino,Jumbo,Beads,Edition,48,Radura,u78jqwsz
49,Cima #049,"Cima, Edition half of pair 049 of 250. Appennino — the ridge you stand on and the valley you stand in. Jumbo scale, beads, rendered deterministically from seed xsxa459x. Its Twin is Piana: free to claim for whoever holds this piece.",filament_1777569622473_0136_xsxa459x_Appennino_jumbo.webp,https://unrealfilament.art/edition/#049,Appennino,Jumbo,Beads,Edition,49,Piana,xsxa459x
50,Costone #050,"Costone, Edition half of pair 050 of 250. Appennino — the ridge you stand on and the valley you stand in. Jumbo scale, beads, rendered deterministically from seed j62j1opp. Its Twin is Forra: free to claim for whoever holds this piece.",filament_1777569626868_0142_j62j1opp_Appennino_jumbo.webp,https://unrealfilament.art/edition/#050,Appennino,Jumbo,Beads,Edition,50,Forra,j62j1opp
51,Guglia #051,"Guglia, Edition half of pair 051 of 250. Appennino — the ridge you stand on and the valley you stand in. Medium scale, thin, rendered deterministically from seed uq16veof. Its Twin is Sella: free to claim for whoever holds this piece.",filament_1777570047538_0013_uq16veof_Appennino_medium.webp,https://unrealfilament.art/edition/#051,Appennino,Medium,Thin,Edition,51,Sella,uq16veof
52,Roccia #052,"Roccia, Edition half of pair 052 of 250. Appennino — the ridge you stand on and the valley you stand in. Mixed scale, beads, rendered deterministically from seed smbcycqp. Its Twin is Pascolo: free to claim for whoever holds this piece.",filament_1777570134462_0085_smbcycqp_Appennino_mixed.webp,https://unrealfilament.art/edition/#052,Appennino,Mixed,Beads,Edition,52,Pascolo,smbcycqp
53,Ghiaione #053,"Ghiaione, Edition half of pair 053 of 250. Appennino — the ridge you stand on and the valley you stand in. Micro scale, mixed-style, rendered deterministically from seed 70al60ai. Its Twin is Sorgente: free to claim for whoever holds this piece.",filament_1777570304581_0072_70al60ai_Appennino_micro.webp,https://unrealfilament.art/edition/#053,Appennino,Micro,Mixed-style,Edition,53,Sorgente,70al60ai
54,Massiccio #054,"Massiccio, Edition half of pair 054 of 250. Appennino — the ridge you stand on and the valley you stand in. Mixed scale, mixed-style, rendered deterministically from seed mvamik91. Its Twin is Valico: free to claim for whoever holds this piece.",filament_1777570347076_0095_mvamik91_Appennino_mixed.webp,https://unrealfilament.art/edition/#054,Appennino,Mixed,Mixed-style,Edition,54,Valico,mvamik91
55,Pietraia #055,"Pietraia, Edition half of pair 055 of 250. Appennino — the ridge you stand on and the valley you stand in. Medium scale, beads, rendered deterministically from seed x9iw1cj4. Its Twin is Faggeta: free to claim for whoever holds this piece.",filament_1777666610513_0005_x9iw1cj4_Appennino_medium.webp,https://unrealfilament.art/edition/#055,Appennino,Medium,Beads,Edition,55,Faggeta,x9iw1cj4
56,Balza #056,"Balza, Edition half of pair 056 of 250. Appennino — the ridge you stand on and the valley you stand in. Medium scale, mixed-style, rendered deterministically from seed ln1y1nzd. Its Twin is Alpeggio: free to claim for whoever holds this piece.",filament_1777666794729_0001_ln1y1nzd_Appennino_medium.webp,https://unrealfilament.art/edition/#056,Appennino,Medium,Mixed-style,Edition,56,Alpeggio,ln1y1nzd
57,Cengia #057,"Cengia, Edition half of pair 057 of 250. Appennino — the ridge you stand on and the valley you stand in. Medium scale, beads, rendered deterministically from seed zyk5fn5r. Its Twin is Vallata: free to claim for whoever holds this piece.",filament_1777666802843_0009_zyk5fn5r_Appennino_medium.webp,https://unrealfilament.art/edition/#057,Appennino,Medium,Beads,Edition,57,Vallata,zyk5fn5r
58,Pinnacolo #058,"Pinnacolo, Edition half of pair 058 of 250. Appennino — the ridge you stand on and the valley you stand in. Large scale, mixed-style, rendered deterministically from seed y2xna7is. Its Twin is Fondovalle: free to claim for whoever holds this piece.",filament_1777667034669_0005_y2xna7is_Appennino_large.webp,https://unrealfilament.art/edition/#058,Appennino,Large,Mixed-style,Edition,58,Fondovalle,y2xna7is
59,Scarpata #059,"Scarpata, Edition half of pair 059 of 250. Appennino — the ridge you stand on and the valley you stand in. Jumbo scale, mixed-style, rendered deterministically from seed 4m5osk7f. Its Twin is Greto: free to claim for whoever holds this piece.",filament_1777667077699_0034_4m5osk7f_Appennino_jumbo.webp,https://unrealfilament.art/edition/#059,Appennino,Jumbo,Mixed-style,Edition,59,Greto,4m5osk7f
60,Mezzanotte #060,"Mezzanotte, Edition half of pair 060 of 250. Notturno — night, and the first light that ends it. Mixed scale, thin, rendered deterministically from seed zvm9tfiz. Its Twin is Aurora: free to claim for whoever holds this piece.",filament_1777568369497_0001_zvm9tfiz_Notturno_mixed.webp,https://unrealfilament.art/edition/#060,Notturno,Mixed,Thin,Edition,60,Aurora,zvm9tfiz
61,Buio #061,"Buio, Edition half of pair 061 of 250. Notturno — night, and the first light that ends it. Jumbo scale, beads, rendered deterministically from seed zo8k4yfx. Its Twin is Barlume: free to claim for whoever holds this piece.",filament_1777569327981_0012_zo8k4yfx_Notturno_jumbo.webp,https://unrealfilament.art/edition/#061,Notturno,Jumbo,Beads,Edition,61,Barlume,zo8k4yfx
62,Tenebra #062,"Tenebra, Edition half of pair 062 of 250. Notturno — night, and the first light that ends it. Medium scale, beads, rendered deterministically from seed fnu89i92. Its Twin is Albore: free to claim for whoever holds this piece.",filament_1777570052990_0017_fnu89i92_Notturno_medium.webp,https://unrealfilament.art/edition/#062,Notturno,Medium,Beads,Edition,62,Albore,fnu89i92
63,Nottola #063,"Nottola, Edition half of pair 063 of 250. Notturno — night, and the first light that ends it. Large scale, beads, rendered deterministically from seed sd8ekdjg. Its Twin is Allodola: free to claim for whoever holds this piece.",filament_1777666641739_0038_sd8ekdjg_Notturno_large.webp,https://unrealfilament.art/edition/#063,Notturno,Large,Beads,Edition,63,Allodola,sd8ekdjg
64,Plenilunio #064,"Plenilunio, Edition half of pair 064 of 250. Notturno — night, and the first light that ends it. Large scale, mixed-style, rendered deterministically from seed qoeamcbm. Its Twin is Mattutino: free to claim for whoever holds this piece.",filament_1777666806352_0013_qoeamcbm_Notturno_large.webp,https://unrealfilament.art/edition/#064,Notturno,Large,Mixed-style,Edition,64,Mattutino,qoeamcbm
65,Veglia #065,"Veglia, Edition half of pair 065 of 250. Notturno — night, and the first light that ends it. Medium scale, mixed-style, rendered deterministically from seed l650oczj. Its Twin is Risveglio: free to claim for whoever holds this piece.",filament_1777666819262_0028_l650oczj_Notturno_medium.webp,https://unrealfilament.art/edition/#065,Notturno,Medium,Mixed-style,Edition,65,Risveglio,l650oczj
66,Astro #066,"Astro, Edition half of pair 066 of 250. Notturno — night, and the first light that ends it. Medium scale, mixed-style, rendered deterministically from seed zd7dtu2f. Its Twin is Rugiada: free to claim for whoever holds this piece.",filament_1777667194090_0089_zd7dtu2f_Notturno_medium.webp,https://unrealfilament.art/edition/#066,Notturno,Medium,Mixed-style,Edition,66,Rugiada,zd7dtu2f
67,Prospettiva #067,"Prospettiva, Edition half of pair 067 of 250. Piero — measure first, then light. Jumbo scale, mixed-style, rendered deterministically from seed 6ymmxau5. Its Twin is Aureola: free to claim for whoever holds this piece.",filament_1777568402446_0005_6ymmxau5_Piero_jumbo.webp,https://unrealfilament.art/edition/#067,Piero,Jumbo,Mixed-style,Edition,67,Aureola,6ymmxau5
68,Compasso #068,"Compasso, Edition half of pair 068 of 250. Piero — measure first, then light. Jumbo scale, beads, rendered deterministically from seed 04q5qjoe. Its Twin is Bagliore: free to claim for whoever holds this piece.",filament_1777569572138_0057_04q5qjoe_Piero_jumbo.webp,https://unrealfilament.art/edition/#068,Piero,Jumbo,Beads,Edition,68,Bagliore,04q5qjoe
69,Squadra #069,"Squadra, Edition half of pair 069 of 250. Piero — measure first, then light. Jumbo scale, beads, rendered deterministically from seed ws4adz66. Its Twin is Nimbo: free to claim for whoever holds this piece.",filament_1777569581406_0072_ws4adz66_Piero_jumbo.webp,https://unrealfilament.art/edition/#069,Piero,Jumbo,Beads,Edition,69,Nimbo,ws4adz66
70,Piombino #070,"Piombino, Edition half of pair 070 of 250. Piero — measure first, then light. Medium scale, mixed-style, rendered deterministically from seed 69qtment. Its Twin is Splendore: free to claim for whoever holds this piece.",filament_1777666827421_0037_69qtment_Piero_medium.webp,https://unrealfilament.art/edition/#070,Piero,Medium,Mixed-style,Edition,70,Splendore,69qtment
71,Volume #071,"Volume, Edition half of pair 071 of 250. Piero — measure first, then light. Mixed scale, mixed-style, rendered deterministically from seed sxyat72i. Its Twin is Trasparenza: free to claim for whoever holds this piece.",filament_1777667076367_0032_sxyat72i_Piero_mixed.webp,https://unrealfilament.art/edition/#071,Piero,Mixed,Mixed-style,Edition,71,Trasparenza,sxyat72i
72,Sinopia #072,"Sinopia, Edition half of pair 072 of 250. Piero — measure first, then light. Medium scale, mixed-style, rendered deterministically from seed 3w8hf6d4. Its Twin is Incarnato: free to claim for whoever holds this piece.",filament_1777667133652_0023_3w8hf6d4_Piero_medium.webp,https://unrealfilament.art/edition/#072,Piero,Medium,Mixed-style,Edition,72,Incarnato,3w8hf6d4
73,Modulo #073,"Modulo, Edition half of pair 073 of 250. Piero — measure first, then light. Large scale, mixed-style, rendered deterministically from seed 089hg65o. Its Twin is Alone: free to claim for whoever holds this piece.",filament_1777667216271_0117_089hg65o_Piero_large.webp,https://unrealfilament.art/edition/#073,Piero,Large,Mixed-style,Edition,73,Alone,089hg65o
